"Planta";"Fuente";"Enero";"Febrero";"Marzo";"Abril";"Mayo";"Junio";"Julio";"Agosto";"Septiembre";"Octubre";"Noviembre";"Diciembre"
"1";"Aeroenergía";"Eólico";1.48362562247627;0.875750941875202;1.11361644761602;0.019907325770772;-1.20925264308833;-0.287220078056518;0.561425515624108;-0.314739898642324;-1.18892029244032;-1.72791658875049;0.0158078653082317;0.657915782307378
"2";"Altamira";"Eólico";0.6926467163277;0.573213658940104;0.592383339860085;-0.103210370567119;-1.38575945952666;-0.172911872625962;0.867140272787486;0.00492022396370139;-1.079619995197;-1.95702104351827;0.671491942700327;1.2967265868556
"3";"Angostura";"Hidro";-1.02809752011291;-1.68491182061022;-1.03053237415516;-1.23729804995293;0.706636862964188;0.73263145507594;0.351702015149135;1.11322344329394;0.924936260706274;0.579494782525848;0.901372740157927;-0.329157795042026
"4";"Arenal";"Hidro";1.13436240720042;0.936831324276568;1.10589198252084;1.13714932405608;1.0023243689384;0.156766815177448;-0.552208879172569;-0.81580235542537;-0.855367600803649;-0.9900170649136;-1.29479110150216;-0.965139220352408
"5";"Balsa Inferior";"Hidro";-0.850824806718867;-1.06882293217462;-1.09915256848197;-1.36183508896857;-0.538228370480748;-0.228955325271999;0.303541101840938;0.372545555229402;0.802414046931968;1.61394952448084;0.765984369185234;1.2893844944284
"6";"Barro Morado";"Hidro";-0.294873708715727;-0.581306425544332;-0.868595343091413;-0.694291343884251;-0.285354771316212;-0.323917380146344;-0.257855618828725;-0.249385947015577;-0.340940665019551;0.378704432983263;0.623913603454712;2.89390316712416
"7";"Bijagua";"Hidro";-0.319364330899095;-1.04466805919593;-0.925543635844765;-1.35909817330053;-0.673740085357567;0.0490272824082316;0.311015139272487;0.0247644418552795;0.071155651163427;0.673749493770836;0.891529276454692;2.30117299967294
"8";"Birris12";"Hidro";-0.0673123936660344;-0.747172752850054;-0.68832259884022;-1.07994801352794;-0.299949059664007;-0.699793532049705;-0.270776593999246;-0.0972437744268992;-0.62993874878782;0.919439392614229;1.52151780125997;2.13950027393773
"9";"Birris3";"Hidro";0.338283817055592;-0.620408031572621;-0.488405199420313;-1.12807012198229;-0.291053930280292;-1.23580778479455;-0.156740407246571;-0.0488550467833592;-0.627101067229128;0.77132749948988;1.36692216375261;2.11990810901104
"10";"Boca de Pozo";"Geotérmico";0.878996859847412;-0.144217364011172;0.310087770885696;-0.277716634927261;0.761445190295718;0.187354570204776;0.637779314011536;-0.77707806162115;0.481343131963409;-2.79437478987845;0.148619746385411;0.587760266844079
